2021-07-06 05:26:44 status unpacked libacl1:amd64 2.2.53-4
2021-07-06 05:26:44 install adduser:all <none> 3.118
2021-07-06 05:26:44 status half-installed adduser:all 3.118
2021-07-06 05:26:44 status unpacked adduser:all 3.118
2021-07-06 05:26:44 install apt:amd64 <none> 1.8.2.3
2021-07-06 05:26:44 status half-installed apt:amd64 1.8.2.3
2021-07-06 05:26:45 status unpacked apt:amd64 1.8.2.3
2021-07-06 05:26:45 install libapt-pkg5.0:amd64 <none> 1.8.2.3
2021-07-06 05:26:45 status half-installed libapt-pkg5.0:amd64 1.8.2.3
2021-07-06 05:26:45 status unpacked libapt-pkg5.0:amd64 1.8.2.3
2021-07-06 05:26:45 install libattr1:amd64 <none> 1:2.4.48-4
2021-07-06 05:26:45 status half-installed libattr1:amd64 1:2.4.48-4
2021-07-06 05:26:45 status unpacked libattr1:amd64 1:2.4.48-4
2021-07-06 05:26:45 install libaudit-common:all <none> 1:2.8.4-3
2021-07-06 05:26:45 status half-installed libaudit-common:all 1:2.8.4-3
2021-07-06 05:26:45 status unpacked libaudit-common:all 1:2.8.4-3
2021-07-06 05:26:45 install libaudit1:amd64 <none> 1:2.8.4-3
2021-07-06 05:26:45 status half-installed libaudit1:amd64 1:2.8.4-3
2021-07-06 05:26:45 status unpacked libaudit1:amd64 1:2.8.4-3
2021-07-06 05:26:45 upgrade base-files:amd64 10.3+deb10u10 10.3+deb10u10
2021-07-06 05:26:45 status half-configured base-files:amd64 10.3+deb10u10
2021-07-06 05:26:45 status unpacked base-files:amd64 10.3+deb10u10
2021-07-06 05:26:45 status half-installed base-files:amd64 10.3+deb10u10
2021-07-06 05:26:45 status unpacked base-files:amd64 10.3+deb10u10
2021-07-06 05:26:45 upgrade base-passwd:amd64 3.5.46 3.5.46
2021-07-06 05:26:45 status half-configured base-passwd:amd64 3.5.46
2021-07-06 05:26:45 status unpacked base-passwd:amd64 3.5.46
2021-07-06 05:26:45 status half-installed base-passwd:amd64 3.5.46
2021-07-06 05:26:45 status unpacked base-passwd:amd64 3.5.46
2021-07-06 05:26:45 install bash:amd64 <none> 5.0-4
2021-07-06 05:26:45 status half-installed bash:amd64 5.0-4
2021-07-06 05:26:45 status unpacked bash:amd64 5.0-4
2021-07-06 05:26:45 install libbz2-1.0:amd64 <none> 1.0.6-9.2~deb10u1
2021-07-06 05:26:45 status half-installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-07-06 05:26:45 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-07-06 05:26:45 install libdebconfclient0:amd64 <none> 0.249
2021-07-06 05:26:45 status half-installed libdebconfclient0:amd64 0.249
2021-07-06 05:26:45 status unpacked libdebconfclient0:amd64 0.249
2021-07-06 05:26:45 install coreutils:amd64 <none> 8.30-3
2021-07-06 05:26:45 status half-installed coreutils:amd64 8.30-3
2021-07-06 05:26:46 status unpacked coreutils:amd64 8.30-3
2021-07-06 05:26:46 install dash:amd64 <none> 0.5.10.2-5
2021-07-06 05:26:46 status half-installed dash:amd64 0.5.10.2-5
2021-07-06 05:26:46 status unpacked dash:amd64 0.5.10.2-5
2021-07-06 05:26:46 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.5
2021-07-06 05:26:46 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.5
2021-07-06 05:26:46 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
2021-07-06 05:26:46 install debconf:all <none> 1.5.71
2021-07-06 05:26:46 status half-installed debconf:all 1.5.71
2021-07-06 05:26:46 status unpacked debconf:all 1.5.71
2021-07-06 05:26:46 install debian-archive-keyring:all <none> 2019.1+deb10u1
2021-07-06 05:26:46 status half-installed debian-archive-keyring:all 2019.1+deb10u1
2021-07-06 05:26:46 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2021-07-06 05:26:46 install debianutils:amd64 <none> 4.8.6.1
2021-07-06 05:26:46 status half-installed debianutils:amd64 4.8.6.1
2021-07-06 05:26:46 status unpacked debianutils:amd64 4.8.6.1
2021-07-06 05:26:46 install diffutils:amd64 <none> 1:3.7-3
2021-07-06 05:26:46 status half-installed diffutils:amd64 1:3.7-3
2021-07-06 05:26:46 status unpacked diffutils:amd64 1:3.7-3
2021-07-06 05:26:46 upgrade dpkg:amd64 1.19.7 1.19.7
2021-07-06 05:26:46 status half-configured dpkg:amd64 1.19.7
2021-07-06 05:26:46 status unpacked dpkg:amd64 1.19.7
2021-07-06 05:26:46 status half-installed dpkg:amd64 1.19.7
2021-07-06 05:26:47 status unpacked dpkg:amd64 1.19.7
2021-07-06 05:26:47 install e2fsprogs:amd64 <none> 1.44.5-1+deb10u3
2021-07-06 05:26:47 status half-installed e2fsprogs:amd64 1.44.5-1+deb10u3
2021-07-06 05:26:47 status unpacked e2fsprogs:amd64 1.44.5-1+deb10u3
2021-07-06 05:26:47 install libcom-err2:amd64 <none> 1.44.5-1+deb10u3
2021-07-06 05:26:47 status half-installed libcom-err2:amd64 1.44.5-1+deb10u3
2021-07-06 05:26:47 status unpacked libcom-err2:amd64 1.44.5-1+deb10u3
2021-07-06 05:26:47 install libext2fs2:amd64 <none> 1.44.5-1+deb10u3
2021-07-06 05:26:47 status half-installed libext2fs2:amd64 1.44.5-1+deb10u3
2021-07-06 05:26:47 status unpacked libext2fs2:amd64 1.44.5-1+deb10u3
